X,...1,date,EmployeeStatus,reviewer_id,rating_overall,rating_workfamily,rating_culture,rating_diversity,rating_leadership,rating_opportunity,rating_compensation,review_pros,review_cons,ceo_approval,companyid,ceo_app2,cleaned_review_pros,cleaned_review_cons,gender,status
1282,1680,2023-03-25,False,74882774,,0,0,0,0,0,0,"yes it was okay, not much communication.","hard work, not rewarded much.",,10,,yes okay  much communication ,hard work  rewarded much ,0,0
3427,4470,2022-01-10,True,57700982,,2,0,2,2,2,1,Reasonable benefits package for full-time employees.,"As a member of the Customer Care team in BBCC, the level of respect and dignity is lacking severely. The customer care division (BBCC) is treated as less than compared to the rest of the corporate office. \n\nThis includes any need or requirement for updated hardware or software. The log in process alone for BBCC employees is inefficient and a waste of company time.\n\nAnother thing to note is that Best Buy’s new Universal Workforce methodology removes any direct specialized agents. Agents are expected to be pulled into random projects outside of their original training. When pulled into these projects in the past year, there has been minimal effort to provide comprehensive training to help the agents affected. \n\nIn short, if you apply to be a Customer Care Specialist, you will be a universal worker across social media, inbound and outbound calls. \n\nLeadership, when met with inefficient processes, are not willing to improve them to make the employee experience better. In actuality, there is little work done to improve the employee experience on the BBCC teams. \n\nWith respect to the Universal Workforce, agents doing additional work this past year have NOT been compensated for that additional work outside of their job description. Even worse, we have not received a yearly raise that meets the era of inflation we are experiencing. We received a 3% raise, which in the current US economy, this is a pay cut. \n\nWe should be receiving compensation for additional work performed and to meet the moment of inflation. It is insulting otherwise.","""DISAPPROVE""",10,-1.0,Reasonable benefits package fulltime employees ,member Customer Care team BBCC  level respect dignity lacking severely  customer care division  BBCC  treated less compared rest corporate office  nnThis includes need requirement updated hardware software  log process alone BBCC employees inefficient waste company timennAnother thing note Best Buy  new Universal Workforce methodology removes direct specialized agents  Agents expected pulled random projects outside original training  pulled projects past year  minimal effort provide comprehensive training help agents affected  nnIn short  apply Customer Care Specialist  universal worker across social media  inbound outbound calls  nnLeadership  met inefficient processes  willing improve make employee experience better  actuality  little work done improve employee experience BBCC teams  nnWith respect Universal Workforce  agents additional work past year compensated additional work outside job description  Even worse  received yearly raise meets era inflation experiencing  received   raise  current US economy  pay cut  nnWe receiving compensation additional work performed meet moment inflation  insulting otherwise ,0,1
2081,2701,2021-11-02,True,54840652,5.0,1,2,5,1,1,4,THEY WILL TELL YOU ANYTHING TO HIRE YOU!!!!!!!!\nbeen working for almost 8 months the pay nice\nbut not worth your sanity! customers are rude. manager micromanage your every move. they claim to be flexible then once they hire you its not so flexible! they don't care about their employees and it shows! I started with over 40 ppl and only 15 remain. Every week someone quits,"work style, hr , no room to move","""DISAPPROVE""",9,-1.0,TELL ANYTHING HIRE         nbeen working almost  months pay nicenbut worth sanity  customers rude  manager micromanage every move  claim flexible hire flexible  nt care employees shows  started  ppl  remain  Every week someone quits,work style  hr  room move,0,1
804,1022,2013-06-30,True,2783134,3.0,3,2,0,3,4,3,- Stable Job\r\n- Good benefits ie. Pension\r\n- Good for learning about the industry,- Slow \r\n- Understaffed \r\n- Reluctant to change\r\n- The pay in finance seems to be below industry averages,"""NO_OPINION""",19,0.0, Stable Jobrn Good benefits ie  Pensionrn Good learning industry, Slow rn Understaffed rn Reluctant changern pay finance seems industry averages,1,1
9414,12405,2021-01-14,False,40710553,4.0,0,0,0,0,0,0,"short shift (4 hours), nice people,  tuition reimbursement","Not much flexibility, work can be difficult",,8,,short shift   hours   nice people  tuition reimbursement,much flexibility  work difficult,0,0
246,288,2023-08-28,False,79563547,2.0,0,0,0,0,0,0,"Tuition Reimbursement, Good College Job","Bad Management, Favoritism, Non-competitive pay",,10,,Tuition Reimbursement  Good College Job,Bad Management  Favoritism  Noncompetitive pay,0,0
767,954,2023-04-24,True,75800345,5.0,0,0,0,0,0,0,Great Teamster benefits. Decent Pay,"There are now too many 22-4 drivers in my center. I rarely drive. Most of the time I work inside the center. Hot in the Summer, cold in the Winter. Lifting packages up to 150 pounds",,8,,Great Teamster benefits  Decent Pay,many  drivers center  rarely drive  time work inside center  Hot Summer  cold Winter  Lifting packages  pounds,0,1
711,906,2013-10-09,False,3159382,4.0,4,4,0,4,4,4,Great work life balance. Competitive compensation and benefits. Room to grow.,Old school punitive systems drive the wrong behavior.,"""APPROVE""",19,1.0,Great work life balance  Competitive compensation benefits  Room grow ,Old school punitive systems drive wrong behavior ,1,0
4004,5309,2015-06-21,True,6975946,3.0,2,1,0,1,1,1,Access to great discounts.\r\n\r\nOk job for people looking to work a couple of days a week for extra money.,Payroll is a joke. Corporate says customer service is most important but don't show it. Some departments end up going days without employees working them. The store ends up a mess until some higher ups visit and then you get payroll to fix it in a day or two so the higher ups feel like everything is going great. \r\n\r\nCommunication is not great. Priorities always changing so nothing is ever completed 100%.\r\n\r\nFull timer stress load way too high for the pay and type of work.,"""DISAPPROVE""",34,-1.0,Access great discountsrnrnOk job people looking work couple days week extra money ,Payroll joke  Corporate says customer service important nt show  departments end going days without employees working  store ends mess higher ups visit get payroll fix day two higher ups feel like everything going great  rnrnCommunication great  Priorities always changing nothing ever completed   rnrnFull timer stress load way high pay type work ,1,1
766,975,2017-04-25,False,14779857,5.0,3,3,0,3,3,3,"good scope to learn lot of thinks, tech, standards, processess",Still working on old tech,,32,,good scope learn lot thinks  tech  standards  processess,Still working old tech,1,0
